name,gender,country,athlete_index,athletes_sent,athletes_total,athlete_%
FRIEDRICH Francesco,Male,Germany,1,96,148,64.86486486486487
FRIMAN Niklas,Male,Finland,1,51,96,53.125
FRITZ Martin,Male,Austria,1,64,105,60.952380952380956
FROLIK Michael,Male,Czech Republic,1,59,115,51.30434782608696
FROSTAD Tormod,Male,Norway,1,54,84,64.28571428571429
FU Jiang,Male,People's Republic of China,1,95,182,52.197802197802204
FU Shuai,Male,People's Republic of China,1,95,182,52.197802197802204
FURGER Roman,Male,Switzerland,1,95,169,56.213017751479285
FURUNO Satoshi,Male,Japan,1,49,121,40.49586776859504
GAITIUKEVICH Rostislav,Male,ROC,1,108,217,49.76958525345622
GALBRAITH Patrick,Male,Denmark,1,34,63,53.96825396825397
GALIAKHMETOV Adil,Male,Kazakhstan,1,17,34,50.0
GALIEV Stanislav,Male,ROC,1,108,217,49.76958525345622
GALLANT Brett,Male,Canada,1,109,215,50.697674418604656
GALLIAMOV Aleksandr,Male,ROC,1,108,217,49.76958525345622
GALMARINI Nevin,Male,Switzerland,1,95,169,56.213017751479285
GALUNIN Artem,Male,ROC,1,108,217,49.76958525345622
GANONG Travis,Male,United States of America,1,116,225,51.55555555555556
GAO Hongbo,Male,People's Republic of China,1,95,182,52.197802197802204
GAO Tingyu,Male,People's Republic of China,1,95,182,52.197802197802204
GASIENICA Patrick,Male,United States of America,1,116,225,51.55555555555556
GASPARI Mattia,Male,Italy,1,72,119,60.50420168067227
GASSNER Alexander,Male,Germany,1,96,148,64.86486486486487
GATTI Matteo,Male,San Marino,1,1,2,50.0
GAUDET Arnaud,Male,Canada,1,109,215,50.697674418604656
GEIGER Karl,Male,Germany,1,96,148,64.86486486486487
GEIGER Vinzenz,Male,Germany,1,96,148,64.86486486486487
GELINAS-BEAULIEU Antoine,Male,Canada,1,109,215,50.697674418604656
GENNERO Lorenzo,Male,Italy,1,72,119,60.50420168067227
